# translation_extract.txt - user-visible Chinese in .kt / .xml / string resources
# Format: unique_id | chinese_string | file:line
# Excludes: // comment-only lines, Log/println/Timber, package/import lines.
# LocalizedStrings.kt: id is i18n_<key> (same-line zh branch or block if (zh) { multiline }).

i18n_mine_records_preview_heading | 卡片预览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:255
i18n_settings_export_csv_json | 数据导出（CSV / JSON） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:256
i18n_settings_stat_analysis | 数据统计分析 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:257
i18n_settings_privacy_management | 隐私管理 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:258
i18n_settings_problem_feedback | 问题反馈 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:259
i18n_settings_sign_out | 退出登录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:260
i18n_insights_off_today | 今日洞察已关闭 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:261
i18n_consecutive_days | 连续记录   | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:262
i18n_consecutive_days_suffix |  天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:263
i18n_week_recorded_days | 本周有记录   | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:264
i18n_week_recorded_days_suffix |  天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:265
i18n_my_mood | 我的心情 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:266
